,link,published,site,text,title,class
0,http://ifyouonlynews.com/2019/03/20/,2019-03-20T00:00:00,Ifyouonlynews,"On Monday night, U.S. Congressmen took the now famous ‘Hands Up, Don’t Shoot’ gesture to the floor of the House of Representatives. Rep. Hakeem Jeffries (D-N.Y.) took the lead in the first of a series of speeches given by the Congressional Black Caucus. He made the gesture as he began, saying: Continue Reading","March 20, 2019 – IFyouOnlyNews",fake
1,http://ifyouonlynews.com/2016/06/20/,2016-06-20T00:00:00,Ifyouonlynews,"Dallas Mayor Mike Rawlings (D) stood next to Texas Governor Greg Abbott (R) and dropped an extremely uncomfortable reality check: Open Carry, the movement pushed with near-fanatical obsession by Texas Republicans, not only did nothing to help stop the mass shooting of police officers in Dallas, but it actually made Continue Reading","June 20, 2016 – IFyouOnlyNews",fake
2,http://ifyouonlynews.com/2016/03/23/,2016-03-23T00:00:00,Ifyouonlynews,"Tomi Lahren, a host for OAN, took the stage at the Conservative Political Action Conference (CPAC) recently, and levied some attacks against Elizabeth Warren and Hilary Clinton, as well as the entire left – but, not without having a few “idiotic moments” in the process. It might just be a Continue Reading","March 23, 2016 – IFyouOnlyNews",fake
3,http://ifyouonlynews.com/2016/03/20/,2016-03-20T00:00:00,Ifyouonlynews,"If there is one thing you can say about Trump supporters, it is that they are sure about what they don’t know. And what they don’t know can fill volumes, as evidenced by the latest conversation with some of them, shared on the September 20 episode of Comedy Central’s The Continue Reading","March 20, 2016 – IFyouOnlyNews",fake
4,https://nationalreport.net/trump-admin-to-deregulate-pressure-of-golden-showers/,2020-08-13T20:21:33+00:00,Nationalreport,"<Washington, DC>According to multiple inside sources with absolutely no knowledge of the subject, the Trump Administration is looking to rollback a 1992 law regulating the pressure of golden showers to more than 2.5 gallons of urine per minute. The sudden change follows complaints from President Trump about his hair routine.

“So golden showers – you take a golden shower, the urine doesn’t come out. You want to wash your hands, the urine doesn’t come out. So what do you do? You just stand there longer or you take a golden shower longer? Because my hair – I don’t know about you, but it has to be perfect. Perfect,” Trump probably said.

In a soon to be released tell-all by Trumps former fixer/attorney, Michael Cohen, Cohen confirms Trumps affinity to the golden shower stating “From golden showers in a sex club in Vegas, to tax fraud, to deals with corrupt officials from the former Soviet Union, to catch and kill conspiracies to silence Trump’s clandestine lovers, I wasn’t just a witness to the president’s rise—I was an active and eager participant.”

Consumer and urine conservation groups argue such changes are wasteful and unnecessary.

Bill Samuals, executive director of the urine conservation group Urine Awareness Project, called the proposal “silly,” adding “you could have 2 or 3 ladies pissing on your face at once pushing out 8-10 gallons of urine per minute, seems excessive.”

“If the president needs help finding a good golden shower, we can point him to some great websites that help you identify ladies with a heavier flow that would provide a dense soak and a good golden shower,” he added.

[adsforwp id=""70836""]",Trump Admin to Deregulate Pressure of Golden Showers - National Report,fake
5,https://nationalreport.net/wounded-social-justice-warrior-project-rebuilds-hope-sense-of-purpose/,2020-07-21T20:53:35+00:00,Nationalreport,"Prudence Bradley, 19, found it difficult to put into words what she experienced during her days as a social justice warrior. She didn’t have to. The way the slightly overweight feminist apologetically paused, fought back tears, and forced out a simple, “Stuff happened there,” told the story of the pain she’s been carrying since she first started fighting for gender equality almost two years ago.

Bradley’s troubles reached an apex the day she organized an anti-Donald Trump rally in Lubbock, Texas. Prudence and a group of fellow UW-M students made the long trek from Madison, WI, to protest Trump’s treatment of women in the Lone Star State.

Almost an hour into their protest, a man wearing a Make America Great Again hat and confederate flag suspenders approached her and screamed “feminazi f*ck pig” right to her face. For Mrs. Bradley, it was like being shot point blank in the face with a high-capacity assault weapon.

“I was in a state of total shock,” said Bradley, “I couldn’t feel my legs and thought I may have been paralyzed.” After being treated at a local medical facility for minor emotional distress, Prudence caught the first flight back home to seek a second opinion.

“Prudence was showing all the classic symptoms of post-traumatic stress disorder, or PTSD,” said Dr. Liam Williams, Bradley’s family doctor in Madison. “Re-experiencing the trauma through intrusive and distressing recollections of the event, flashbacks, and nightmares are just some of Mrs. Bradley’s symptoms,” warned the doctor. “Prudence was also showing extreme emotional numbness that puts her in a very dangerous category of PTSD. It’s very important she start a treatment program immediately.”

The Bradley family researched treatment facilities across the country, hoping to find a program that would give their daughter the best overall chance at a full recovery. After almost a month of searching, the family were losing hope until an email from a wounded slacktivist suggested they call the Wounded Social Justice Warrior Project® in Portland, Oregon.

The program provides personalized care, services, and advocacy to seriously wounded social justice warriors—including those who have suffered post traumatic stress disorder and other medical health conditions.

Besides adaptive and rehabilitative programs and caregiver support, the WSJWP also provides mentorship to recovering activists, an employment and career readiness program, and financial assistance for those who have suffered or aggravated an injury or illness and need help with daily living activities so they can avoid being hospitalized or put in an outpatient care facility.

For Prudence, the WSJWP has been a blessing. After a difficult and challenging three months in the program, Mrs. Bradley is starting to feel whole again, and is even looking forward to rejoining her fellow moonbats in time to protest the Republican National Convention next month in Jacksonville.

“I’ll be back,” said Mrs. Bradley with a new found sense of confidence. “I refuse to let these misogynists have the last laugh. This time I’ll be ready for them.” Prudence praises the WSJWP for giving her a second chance, not only at life, but a new sense of purpose to fight for social and economic justice. “This is my passion and I will never give up, ever.”

About the Wounded Social Justice Warrior Project®

The mission of the Wounded Social Justice Warrior Project® is to honor and empower our wounded heroes. Its purpose is to raise awareness of injured social activists, to help find them aid, and to provide unique, direct programs and services to help them continue with their activism. WSJWP is a national, nonpartisan organization headquartered in Portland, Oregon.

[adsforwp id=""70836""]",‘Wounded Social Justice Warrior Project’ Rebuilds Hope; Sense of Purpose,fake
6,https://nationalreport.net/trump-university-study-finds-correlation-between-menthol-cigarettes-and-voter-fraud/,2020-07-19T11:40:10+00:00,Nationalreport,"New York City, NY – As Donald Trump takes on the Republican establishment, Democrats and the mainstream media, he’s telling supporters they’re fighting against a “rigged” system, rife with voter fraud. The left, predictably, say talk like this is “dangerous” to the integrity of our electoral system, and then glibly ask for Mr. Trump to prove his voter fraud allegations.

Ask and ye shall receive.

Donald Trump’s campaign released a new study today that found a direct link between menthol cigarettes and widespread voter fraud.

Conducted by researchers at Trump University, the comprehensive study titled The Menthol Menace determined that menthol smokers have a genetic predisposition to commit in-person voter impersonation fraud.

“We found robust evidence that confirms a correlation between menthol cigarettes and voter fraud,” said Trump’s campaign manager, Kellyanne Conway. “Once again Mr. Trump is 100% vindicated. Let’s see if the dishonest media will even report on this. I won’t be holding my breath.”

In typical fashion, progressives were quick to suggest that the study’s findings were somehow “racist” and dismissed them without further review. “Liberals want you to believe that only blacks smoke menthol cigarettes and therefore the findings are flawed and even racist. I think the American people are smarter than that,” Conway said.

Studies have shown that almost one in five African Americans smoke menthol cigarettes, almost three times the rate of whites.

Federal courts have time and again struck down sensible voter ID laws, concluding that minority voters are less likely to own a car and therefore less likely to obtain a driver’s license that could be used as an acceptable form of ID.

“Now that is racist…and total hogwash,” says former Wisconsin Governor Scott Walker. “If these people can’t obtain an ID then how are they buying all those menthol cigarettes they love so much? Answer me that.” Mr. Walker cited unverified claims of illegal immigrants voting over and over again at different polling locations using multiple fake IDs. “We must go further than strict voter ID laws, that’s why I am working on legislation that would require every Wisconsinite submit to an iris scan before they cast their ballot,” said Walker.

A similar study done by the Wyoming Institute of Technology found a direct link between menthol cigarettes and gang violence. The study found that gang violence was 16 times more likely to occur within a 5-mile radius of what the institute called “Menthol Center Zones.” The Menthol Menace concluded that polling stations within these “Menthol Center Zones” are likely to attract the highest concentration of fraudulent voters and should be heavily monitored on election day.

[adsforwp id=""70836""]",Trump University Study Finds Correlation Between Menthol Cigarettes and Voter Fraud,fake
7,https://nationalreport.net/trump-administration-to-launch-black-beans-matter-campaign/,2020-07-15T19:09:58+00:00,Nationalreport,"<Washington, DC>The Trump Administration has launched a “Black Beans Matter” (“Frijoles Negros Importan”) campaign in support of a Goya Foods whose top executive was criticized last week for supporting President Trump. The campaign is focused on increasing sales of Mexican owned Goya food brands, as well as securing Latino votes for the upcoming election.

Critics of the president have been calling for a boycott of Goya after CEO Robert Unanue stated “We’re all truly blessed at the same time to have a leader like President Trump, who is a builder” at a White House event. Unanue continued, “”He came to this country to build, to grow, to prosper. And so we have an incredible builder, and we pray for our leadership, our president, and we pray for our country that we will continue to prosper and to grow.””

The president’s daughter, who serves as a formal adviser to the president in the White House, tweeted late Tuesday in both English and Spanish along with a photo of her posing with can of black beans in support of the upcoming campaign.

The president again commented on the controversy Wednesday with the following tweet:

Critics of the president, as well as ethics officials, have criticized the move citing federal ethics law that states, in part, “An employee’s position or title should not be used to coerce; to endorse any product, service or enterprise; or to give the appearance of governmental sanction.” The Trump campaign has notoriously ignored the Hatch Act and this latest incident will likely be no different.

White House communications aide Carolina Hurley defended Ivanka’s tweet by stating: “Only the media and the cancel culture movement would criticize Ivanka for showing her personal support for a company that has been unfairly mocked, boycotted and ridiculed for supporting this administration — one that has consistently fought for and delivered for the Hispanic community,” adding “Ivanka is proud of this strong, Hispanic-owned business with deep roots in the U.S. and has every right to express her personal support.”

The announcement of the Black Beans Matter campaign has led to a fresh round of #BoycottGoya backlash, as well as outrage from supporters of the Black Lives Matter movement. Celebrities from Chrissy Teigen to Lin-Manuel Miranda, as well as politicians such as Alexandria Ocasio-Cortez have joined in the boycott and have used their massive platforms to draw attention to the cause.

[adsforwp id=""70836""]","Trump Administration to Launch ""Black Beans Matter"" Campaign - National Report",fake
8,https://nationalreport.net/jared-kushners-dick-sued-by-pencil-company/,2020-07-13T17:47:44+00:00,Nationalreport,"WASHINGTON, DC— Jared C. Kushner, husband of first daughter and East Asian entrepreneuse Ivanka Trump, was named as Defendant in a lawsuit brought by Gotwood Pencil Company, alleging brand confusion between Defendant’s dick and Plaintiff’s device.

“Since January 10, 1981,” the tort alleges, “Defendant Kushner’s penis has caused Plaintiff Gotwood major financial downturns resulting in irreversible, weakened revenue streams.”

Trademark law defines “Likelihood of confusion” as the reasonable frequency to which consumers easily confuse products or services from two separate brands.

According to counsel for Plaintiff,

“Clearly, court action was necessary due to the physical similarity between Defendant Kushner’s schmekel and a bona fide pencil, with additional harm caused by false and injurious comparisons between Gottwood’s universally useful tool, and Jared C. Kushner.”

Kushner is not the only Trump family official accused of violating fair use standards and practices (nor the only one accused of having a pencil dick).

Slackjaw Industries sued Donald J. Trump, Jr. over multiple brand confusions, and second brother Eric Trump faced ugly legal action brought by The Gumline Corporation, a Slackjaw subsidiary.

Slackjaw and Gumline documents state, “this extraordinarily unattractive pair of actions was necessary to halt a significant revenue decline, hastened by the appearance of Defendant Eric Trump as warm up comic during a recent Tulsa, Oklahoma Trump campaign rally.

Trump branded businesses have initiated over 3,500 legal actions in U.S. federal and state courts.

The volume of legal actions bestows upon all Trump family enterprises the designation of Major American Suers.

Kushner has not publicly issued comment on Gottwood’s allegations. Repeated press attempts have failed to initiate a response.

[adsforwp id=""70836""]",Jared Kushner’s Dick Sued by Pencil Company Over Brand Confusion - National Report,fake
9,https://nationalreport.net/virginia-officials-embrace-blackface-history-month/,2019-02-06T17:34:19+00:00,Nationalreport,"<Richmond, VA>Government officials in the Commonwealth of Virginia have fully embraced Blackface History Month. While Virginia has long struggled with racism, momentum in support of the blackface community really picked up this week after a racist photograph surfaced on the yearbook page of Governor Ralph Northam. Northam has denied being in the photograph, but his denial fell flat after he confessed to having dressed in blackface for a Texas dance competition where he impersonated Michael Jackson by painting his face with shoe polish.

Fresh off the Northam news, Attorney General Mark Herring, second in line to assume the governorship of the Commonwealth, today admitted to dressing in blackface when he was a 19-year-old college student at the University of Virginia in 1980. Herring, who was among those calling on Northam to resign, said he was “deeply, deeply sorry for the paint that I cause with this revelation.”

Virginia’s Lt. Governor Justin Fairfax, widely considered for the position of Governor in the event Northam resigns, has found himself in the midst of sexual assault allegations. No word on whether or not Democrats in the state will support his candidacy following the allegations.

National Report reached out to the head of the Virginia Legislative Blackface Caucus, but no response was provided prior to publication.

Image Source: Wiki

[adsforwp id=""70836""]",Virginia Officials Embrace Blackface History Month,fake
